title,link
Satoja euroja lahjoihin? Nyt puhuvat suomalaiset jouluostoksilla,https://www.mtvuutiset.fi/artikkeli/satoja-euroja-lahjoihin-nyt-puhuvat-suomalaiset-jouluostoksilla/9065974
Saksalaisessa joulussa pukki voi olla melko paha: Vitsa viuhuu,https://www.mtvuutiset.fi/artikkeli/saksalaisessa-joulussa-pukki-voi-olla-melko-paha-vitsa-viuhuu/9066796
Voiko joululauluja enää laulaa koulussa? Tässä menee uskonnollisuuden raja,https://www.mtvuutiset.fi/artikkeli/voiko-joululauluja-enaa-laulaa-koulussa-tassa-menee-uskonnollisuuden-raja/9065996
Näin valmistat glögin itse – kolme helppoa tapaa!,https://www.mtvuutiset.fi/makuja/artikkeli/nain-valmistat-glogin-itse-kolme-helppoa-tapaa/9066028
"Takana sydänsiirto, halvaantuminen ja syöpähoidot – tällainen on Oliverin, 15, tarina",https://www.mtvuutiset.fi/artikkeli/takana-sydansiirto-halvaantuminen-ja-syopahoidot-tallainen-on-oliverin-15-tarina/9065566
"KKO:n päätös Auerin seksuaalirikostuomion purkamisesta voi saada aikaan hakemustulvan: ""Aukeaako Pandoran lipas?""",https://www.mtvuutiset.fi/artikkeli/kko-n-paatos-auerin-seksuaalirikostuomion-purkamisesta-voi-saada-aikaan-hakemustulvan-aukeaako-pandoran-lipas/9066356
Kuulusteluissa vaiennut Voislav Torden kiistää olevansa uusnatsi – symbolit ja appiukko kertovat muuta,https://www.mtvuutiset.fi/artikkeli/kuulusteluissa-vaiennut-voislav-torden-kiistaa-olevansa-uusnatsi-symbolit-ja-appiukko-kertovat-muuta-han-on-nationalisti-mutta-harvinaisen-tyhma-nationalisti/9065560
Nuori mies kuoli auton ajauduttua mereen Kirkkonummella,https://www.mtvuutiset.fi/artikkeli/nuorehko-mies-kuoli-auton-ajauduttua-mereen-kirkkonummella/9066840
Sanni teki tuoreen albuminsa alusta loppuun itse – näin laulaja nollasi päätään suuritöisen projektin keskellä,https://www.mtvuutiset.fi/artikkeli/sanni-teki-tuoreen-albuminsa-alusta-loppuun-itse-nain-laulaja-nollasi-paataan-suuritoisen-projektin-keskella/9066386
"Ruhtinaspari Albertin ja Charlenen liitto hämmentää yhä – yksi seikka todennäköisesti estää paria eroamasta: ""Koko ajan vain omituisempia piirteitä""",https://www.mtvuutiset.fi/artikkeli/ruhtinaspari-albertin-ja-charlenen-liitto-hammentaa-yha-yksi-seikka-todennakoisesti-estaa-paria-eroamasta-koko-ajan-vain-omituisempia-piirteita/9019626
"IS: Seela Sella sai aivoinfarktin: ""Kaikkein hirveintä oli ajokortin menetys""",https://www.mtvuutiset.fi/artikkeli/is-seela-sella-sai-aivoinfarktin-kaikkein-hirveinta-oli-ajokortin-menetys/9066858
Tämän asian Esko Eerikäinen muuttaisi julkisuusuran alusta – Martina Aitolehdeltä napakka vastaus,https://www.mtvuutiset.fi/artikkeli/taman-asian-esko-eerikainen-muuttaisi-julkisuusuran-alusta-martina-aitolehdelta-napakka-vastaus/9065128
Repeilyä Salkkarit-kuvauksissa – katso pieleen mennyt kohtaus,https://www.mtvuutiset.fi/artikkeli/repeilya-salkkarit-kuvauksissa-katso-pieleen-mennyt-kohtaus/9065866
"Matka koiran kanssa Norjaan voi tyssätä rajalle – tiesitkö, että monet suositut rodut on kielletty ulkomailla?",https://www.mtvuutiset.fi/artikkeli/matka-koiran-kanssa-norjaan-voi-tyssata-rajalle-tiesitko-etta-monet-suositut-rodut-on-kielletty-ulkomailla/9055876
Haaveiletko raskaudesta? Jo ennen yrittämistä on syytä tehdä yksi asia,https://www.mtvuutiset.fi/artikkeli/haaveiletko-raskaudesta-jo-ennen-yrittamista-on-syyta-kayda-hammastarkastuksessa/9032616
"Antelias lahjoitus vähävaraisille lapsille ja hurmaava Zayne-poika – katso, mitä hyvää meillä ja maailmalla on tapahtunut!",https://www.mtvuutiset.fi/artikkeli/antelias-lahjoitus-vahavaraisille-lapsille-ja-hurmaava-zayne-poika-katso-mita-hyvaa-meilla-ja-maailmalla-on-tapahtunut/9002930
"Suositut juomat pilaavat nuorten hampaat –""Kudos menetetään pysyvästi""",https://www.mtvuutiset.fi/artikkeli/suositut-juomat-pilaavat-nuorten-hampaat-kudos-menetetaan-pysyvasti/9066390
"Talven pakkasennätys taas rikki! Lumisateet leviävät, ajokeli erittäin huono",https://www.mtvuutiset.fi/artikkeli/lumisateet-leviavat-maan-etela-ja-keskiosiin-ajokeli-erittain-huono/9066842
Viikonlopuksi luvassa hurjaa säätä – lunta voi tulla jopa 30 senttiä,https://www.mtvuutiset.fi/artikkeli/viikonlopuksi-luvassa-hurjaa-saata-lunta-voi-tulla-jopa-30-senttia/9066458
"Tämän talven pakkasennätys meni rikki, 30 pakkasasteen raja ylittyi Lapissa",https://www.mtvuutiset.fi/artikkeli/taman-talven-pakkasennatys-meni-rikki-30-pakkasasteen-raja-ylittyi-lapissa/9066734
Etelä-Korean presidentti asetetaan virkasyytteeseen,https://www.mtvuutiset.fi/artikkeli/etela-koreassa-taas-aanestys-poikkeustilan-julistaneen-presidentin-virkasyytteesta/9066848
"Syyrian kaduilla juhlittiin ""voiton perjantaita""",https://www.mtvuutiset.fi/artikkeli/syyrian-kaduilla-juhlittiin-voiton-perjantaita/9066844
"Georgiassa valitaan uusi presidentti, entinen kieltäytyy eroamasta",https://www.mtvuutiset.fi/artikkeli/georgiassa-valitaan-uusi-presidentti-entinen-kieltaytyy-eroamasta/9066850
Ranska sai uuden pääministerin,https://www.mtvuutiset.fi/artikkeli/ranska-sai-uuden-paaministerin/9066452
MTV selvitti: Eläinsuojeluilmoituksia ja puuttuvia lupia – pentujoogayrityksen toiminnassa lukuisia epäselvyyksiä,https://www.mtvuutiset.fi/artikkeli/elainsuojeluilmoituksia-peruttuja-tunteja-ja-puuttuvia-lupia-pentujoogayrityksella-lukuisia-epaselvyyksia-toiminnassaan/9065738
Kirja-arvio: Suomen talous vuoristoradassa,https://www.mtvuutiset.fi/artikkeli/kirja-arvio-suomen-talous-vuoristoradassa/9065986
Ruokarobotti sekoili vaarallisesti Tampereella,https://www.mtvuutiset.fi/artikkeli/ruokarobotti-sekoili-vaarallisesti-tampereella/9066588
Miten kukaan heistä ei loukkaantunut tässä kolarissa?,https://www.mtvuutiset.fi/artikkeli/miten-kukaan-heista-ei-loukkaantunut-tassa-kolarissa/9066676
"Autoilija! Muista tämä, kun kurvaat kiireessä jouluostoksille",https://www.mtvuutiset.fi/artikkeli/autoilija-muista-tama-kun-kurvaat-kiireessa-jouluostoksille/9065796
MTV Ukrainassa: Naton synkät puheet tulleet valitettavan tutuiksi,https://www.mtvuutiset.fi/artikkeli/mtv-ukrainassa-naton-synkat-puheet-tulleet-valitettavan-tutuiksi/9066710
Ukrainalaisfeministit iskivät yläosattomissa – painava viesti Venäjästä,https://www.mtvuutiset.fi/artikkeli/ukrainalaisfeministit-iskivat-ylaosattomissa-painava-viesti-venajasta/9066586
"Ukrainan asevoimille ei saa kerätä rahaa Suomessa – Oras Tynkkynen MTV:lle: ""Hullu ajatus""",https://www.mtvuutiset.fi/artikkeli/ukrainan-asevoimille-ei-saa-kerata-rahaa-suomessa-oras-tynkkynen-mtv-lle-hullu-ajatus/9066442
"Peskov odottaa Trumpin hallinnon ottavan ""myönteisiä askelia"" Venäjän suuntaan",https://www.mtvuutiset.fi/artikkeli/peskov-odottaa-trumpin-hallinnon-ottavan-myonteisia-askelia-venajan-suuntaan/9066430
"Zelenskyi: Venäjän laajassa ""vastaiskussa"" käytettiin pohjoiskorealaisia ohjuksia",https://www.mtvuutiset.fi/artikkeli/lahteet-venaja-iski-jalleen-ukrainan-energialaitoksiin/9066300
USA:n sotilastukikohdan yläpuolella havaittu tunnistamattomia lennokkeja Saksassa,https://www.mtvuutiset.fi/artikkeli/usa-n-sotilastukikohdan-ylapuolella-havaittu-tunnistamattomia-lennokkeja-saksassa/9066698
"""Sairaalasekoilussa"" taas hurjia käänteitä – pääministerikin ymmällään",https://www.mtvuutiset.fi/artikkeli/sairaalasekoilussa-taas-hurjia-kaanteita-paaministerikin-ymmallaan/9066560
"50 miljoonan joululahja ampumaradoille, hevosille ja kansanedustajan isän yhdistykseen: ""Absurdia""",https://www.mtvuutiset.fi/artikkeli/50-miljoonan-euron-joululahja-ampumaradoille-hevosille-ja-kansanedustajan-isan-yhdistykseen-onhan-tama-absurdia/9066366
"Sairaalaverkon supistamisen vastustus voi kasvaa – Vornanen painamassa punaista, kokoomuksessa harkintaa",https://www.mtvuutiset.fi/artikkeli/sairaalaverkon-supistamisen-vastustajien-maara-voi-kasvaa-timo-vornanen-painamassa-punaista-kokoomuksen-riveissa-harkintaa/9066364
"Hallituksen rivit huojuvat – ""Halpa kalja tärkeämpää kuin ihmisten hoitoonpääsy?""",https://www.mtvuutiset.fi/artikkeli/seuraa-suorana-kello-16-00-hallituksen-rivit-huojuvat-eduskunnan-kyselytunnilla-kuuma-vaittely-saastoista/9065842
Sairaalatoiminnan leikkauksista voi tulla hallitukselle vielä todella kiusallinen paikka,https://www.mtvuutiset.fi/artikkeli/sairaalatoiminnan-leikkauksista-voi-tulla-hallitukselle-viela-todella-kiusallinen-paikka/9066036
ALS-tautia sairastanut kansanedustaja Antero Laukkanen on kuollut,https://www.mtvuutiset.fi/artikkeli/als-tautia-sairastanut-kansanedustaja-antero-laukkanen-on-kuollut/9066384
Löytyikö Unkarissa kadonnut yhdysvaltalaismies elossa Syyriasta?,https://www.mtvuutiset.fi/artikkeli/loytyiko-unkarissa-kadonnut-yhdysvaltalaismies-elossa-syyriasta/9066242
Toimittaja pääsi Syyrian syrjäytetyn johtajan kotiin – kaaoksen keskellä vähäpukeisia kuvia ja raskauttavia asiakirjoja,https://www.mtvuutiset.fi/artikkeli/toimittaja-paasi-syyrian-syrjaytetyn-johtajan-kotiin-kaaoksen-keskella-vahapukeisia-kuvia-ja-raskauttavia-asiakirjoja/9066016
Israel aikoo jatkaa läsnäoloaan Syyriassa,https://www.mtvuutiset.fi/artikkeli/israel-aikoo-jatkaa-lasnaoloaan-syyriassa/9066272
"Tuomarivirhe SM-liigassa – suora myönnytys: ""Olisi hyväksytty""",https://www.mtvuutiset.fi/artikkeli/tuomarivirhe-sm-liigassa-suora-myonnytys-olisi-hyvaksytty/9066820
Lauri Markkanen palasi parketille ja upotti pisteitä – Utahin kurjuudelle ei loppua,https://www.mtvuutiset.fi/artikkeli/lauri-markkanen-palasi-parketille-ja-upotti-pisteita-utahin-kurjuudelle-ei-loppua/9066852
Carolinan suomalaisilla lohduton ilta NHL:ssä,https://www.mtvuutiset.fi/artikkeli/carolinan-suomalaisilla-lohduton-ilta-nhl-ssa/9066860
NHL-sopimus revittiin – suomalaishyökkääjä palaa SM-liigaan,https://www.mtvuutiset.fi/artikkeli/nhl-sopimus-revittiin-suomalaishyokkaaja-palaa-sm-liigaan/9066774
Sebastien Ogierilta suorat sanat MM-rallin uudistuksesta,https://www.mtvuutiset.fi/artikkeli/sebastien-ogierilta-suorat-sanat-mm-rallin-uudistuksesta/9066790
Kuvasitko hyvän videon? Lähetä se meille – näin paljon maksamme,https://www.mtvuutiset.fi/artikkeli/kuvasitko-hyvan-videon-laheta-se-meille-nain-paljon-maksamme/8911706
Joulupukkia vaaditaan Venäjällä vieraan vallan agentiksi,https://www.mtvuutiset.fi/artikkeli/joulupukkia-vaaditaan-venajalla-vieraan-vallan-agentiksi/9065202
Stubbista levitetään harhaanjohtavaa videota maailmalla – presidentin kanslia jyrähti,https://www.mtvuutiset.fi/artikkeli/stubbista-levitetaan-harhaanjohtavaa-videota-maailmalla-presidentin-kanslia-jyrahti/9065788
Tutkijat yllättyivät: Huolestuttavat superpurkaukset luultua yleisempiä Auringon kaltaisissa tähdissä,https://www.mtvuutiset.fi/artikkeli/tutkijat-yllattyivat-huolestuttavat-superpurkaukset-luultua-yleisempia-auringon-kaltaisissa-tahdissa/9066128
Kullan hinta hipoo ennätyksiä – kannattaako nyt myydä vanhat aarteet ja korut pois?,https://www.mtvuutiset.fi/artikkeli/kullan-hinta-hipoo-ennatyksia-kannattaako-nyt-myyda-vanhat-korut-pois/9065260
"Veriteko New Yorkissa: Rikkaan suvun poika eli onnellista elämää, mutta sitten tuska otti vallan",https://www.mtvuutiset.fi/artikkeli/rikkaan-suvun-poika-eli-onnellista-elamaa-mutta-sitten-tuska-otti-vallan-nain-new-yorkin-ampuja-perusteli-veritekoaan/9065182
"Emme voi enää auttaa, totesi seinäjokelainen eläinsuojeluyhdistys: ""Tämä ei ole halpaa""",https://www.mtvuutiset.fi/artikkeli/emme-voi-enaa-auttaa-totesi-seinajokelainen-elainsuojeluyhdistys-tama-ei-ole-halpaa/9064980
"Sarin viisikymppisillä tarjottiin herkkua, jonka ulkonäkö voi etoa: ""Muutama sanoi, ettei ota""",https://www.mtvuutiset.fi/makuja/artikkeli/sarin-viisikymppisilla-tarjottiin-herkkua-jonka-ulkonako-voi-etoa-muutama-sanoi-ettei-ota/9059916
"Tämä joulukalenteri sai jälleen ihmiset raivon partaalle: ""Lapset oikeasti itkevät""",https://www.mtvuutiset.fi/makuja/artikkeli/tama-joulukalenteri-sai-jalleen-ihmiset-raivon-partaalle-lapset-oikeasti-itkevat/9060564
"Yksi juoma on erityisen ""kova myrkky"" syöpäriskin kannalta: ""Enemmän asetaldehydiä kuin missään muussa alkoholijuomassa""",https://www.mtvuutiset.fi/artikkeli/yksi-juoma-on-erityisen-kova-myrkky-syopariskin-kannalta-enemman-asetaldehydia-kuin-missaan-muussa-alkoholijuomassa/9059742
"Video: Murhaaja riehui oikeudessa ""selliveitsen"" kanssa – sai syytteen",https://www.mtvuutiset.fi/artikkeli/video-murhaaja-riehui-oikeudessa-selliveitsen-kanssa-sai-syytteen/9065924
Suvelan murha: Katujengeihin kytkeytyvä 19-vuotias vangittiin,https://www.mtvuutiset.fi/artikkeli/suvelan-murha-katujengeihin-kytkeytyvaa-19-vuotiasta-vaaditaan-vangittavaksi/9065778
"Poliisien itsemurhia poikkeuksellisen monta: ""Ovat puhuttaneet paljon""",https://www.mtvuutiset.fi/artikkeli/poliisien-itsemurhia-poikkeuksellisen-monta-nama-ovat-puhuttaneet-paljon-viime-kuukausina/9064960
"Nuoret miehet tuovat Suomeen tuhansia kiloja ilokaasua ""leipomokäyttöön"" – Tulli: ""Tuskinpa siellä valmistetaan kakkuja""",https://www.mtvuutiset.fi/artikkeli/nuoret-miehet-tuovat-suomeen-tuhansia-kiloja-ilokaasua-leipomokayttoon-tulli-tuskinpa-siella-valmistetaan-kakkuja/9047776
Täynnä natsisymboliikkaa: Tältä näyttää Oulun teinipuukottajan kotona,https://www.mtvuutiset.fi/artikkeli/taynna-natsisymboliikkaa-talta-nayttaa-oulun-teinipuukottajan-kotona/9058284
